en,fr,it,de,es,ko,kana
Imaging Stockmonster,Pokémon Terrifiant,Pokémon Atroce,Grausam-Pokémon,Pokémon Atrocidad,흉악포켓몬,きょうあくポケモン
Waveguide Stockmonster,Pokémon Transport,Pokémon Trasporto,Transport-Pokémon,Pokémon Transporte,탈것포켓몬,のりものポケモン
Shapeless Stockmonster,Pokémon Morphing,Pokémon Mutante,Transform-Pokémon,Pokémon Transformación,변신포켓몬,へんしんポケモン
Much Wow Stockmonster,Pokémon Évolutif,Pokémon Evoluzione,Evolutions-Pokémon,Pokémon Evolución,진화포켓몬,しんかポケモン
Lineworker Stockmonster,Pokémon Bulleur,Pokémon Bollajet,Blubbblasen-Pokémon,Pokémon Burbuja,거품뿜기포켓몬,あわはきポケモン
Annealing Stockmonster,Pokémon Orage,Pokémon Luminoso,Blitz-Pokémon,Pokémon Relámpago,번개포켓몬,かみなりポケモン
Modem Stockmonster,Pokémon Flamme,Pokémon Fiamma,Feuer-Pokémon,Pokémon Llama,불꽃포켓몬,ほのおポケモン
Meta Stockmonster,Pokémon Virtuel,Pokémon Virtuale,Virtuell-Pokémon,Pokémon Virtual,가상포켓몬,バーチャルポケモン
Superposed Stockmonster,Pokémon Spirale,Pokémon Spirale,Spiralen-Pokémon,Pokémon Espiral,소용돌이포켓몬,うずまきポケモン
Blocky Stockmonster,Pokémon Spirale,Pokémon Spirale,Spiralen-Pokémon,Pokémon Espiral,소용돌이포켓몬,うずまきポケモン
First Stockmonster,Pokémon Carapace,Pokémon Crostaceo,Schaltier-Pokémon,Pokémon Armazón,껍질포켓몬,こうらポケモン
Upvote Stockmonster,Pokémon Carapace,Pokémon Crostaceo,Schaltier-Pokémon,Pokémon Armazón,껍질포켓몬,こうらポケモン
Orbital Assembly Stockmonster,Pokémon Fossile,Pokémon Fossile,Fossil-Pokémon,Pokémon Fósil,화석포켓몬,かせきポケモン
Cryostat Stockmonster,Pokémon Pionceur,Pokémon Sonno,Tagträumer-Pokémon,Pokémon Dormir,졸음포켓몬,いねむりポケモン
Wilderness Stockmonster,Pokémon Glaciaire,Pokémon Gelo,Eis-Pokémon,Pokémon Congelar,냉동포켓몬,れいとうポケモン
Launch Stockmonster,Pokémon Électrique,Pokémon Elettrico,Elektro-Pokémon,Pokémon Eléctrico,전기포켓몬,でんげきポケモン
Solar Stockmonster,Pokémon Flamme,Pokémon Fiamma,Flammen-Pokémon,Pokémon Llama,화염포켓몬,かえんポケモン
Echo Stockmonster,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
Dividend Stockmonster,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
Inert Stockmonster,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
Storefront Stockmonster,Pokémon Génétique,Pokémon Genetico,Genmutanten-Pokémon,Pokémon Genético,유전포켓몬,いでんしポケモン
Short-Duration Stockmonster,Pokémon Nouveau,Pokémon Novaspecie,Neue Art-Pokémon,Pokémon Nueva Especie,신종포켓몬,しんしゅポケモン
Flash Channel Stockmonster,Pokémon Feuille,Pokémon Foglia,Laub,Pokémon Hoja,잎사귀포켓몬,はっぱポケモン
Stacked Memory Stockmonster,Pokémon Feuille,Pokémon Foglia,Laub,Pokémon Hoja,잎사귀포켓몬,はっぱポケモン
Clinical Trial Stockmonster,Pokémon Herbe,Pokémon Erbe,Kräuter,Pokémon Hierba,허브포켓몬,ハーブポケモン
Mirror Stockmonster,Pokémon Souris Feu,Pokémon Fuocotopo,Feuermaus,Pokémon Ratón Fuego,불쥐포켓몬,ひねずみポケモン
Server Rack Stockmonster,Pokémon Volcan,Pokémon Vulcano,Vulkan,Pokémon Volcán,화산포켓몬,かざんポケモン
Cyclical Stockmonster,Pokémon Volcan,Pokémon Vulcano,Vulkan,Pokémon Volcán,화산포켓몬,かざんポケモン
Modular Reactor Stockmonster,Pokémon Mâchoire,Pokémon Mascellone,Großmaul,Pokémon Fauces,큰턱포켓몬,おおあごポケモン
Vanishing Stockmonster,Pokémon Mâchoire,Pokémon Mascellone,Großmaul,Pokémon Fauces,큰턱포켓몬,おおあごポケモン
Flash Storage Stockmonster,Pokémon Mâchoire,Pokémon Mascellone,Großmaul,Pokémon Fauces,큰턱포켓몬,おおあごポケモン
Frozen Data Stockmonster,Pokémon Espion,Pokémon Esplorante,Späher,Pokémon Explorador,망보기포켓몬,みはりポケモン
Refinancing Stockmonster,Pokémon Allongé,Pokémon Lungocorpo,Langleib,Pokémon Alargado,긴몸통포켓몬,どうながポケモン
Waveform Stockmonster,Pokémon Hibou,Pokémon Gufo,Eulen-Pokémon,Pokémon Búho,부엉이포켓몬,ふくろうポケモン
Sector Stockmonster,Pokémon Hibou,Pokémon Gufo,Eulen-Pokémon,Pokémon Búho,부엉이포켓몬,ふくろうポケモン
Reusable Stockmonster,Pokémon 5 Étoiles,Pokémon Pentastra,Fünf-Punkt,Pokémon 5 Estrellas,별다섯포켓몬,いつつぼしポケモン
Momentum Stockmonster,Pokémon 5 Étoiles,Pokémon Pentastra,Fünf-Punkt,Pokémon 5 Estrellas,별다섯포켓몬,いつつぼしポケモン
Market Stockmonster,Pokémon Crache Fil,Pokémon Tela,Fadenwurf,Pokémon Escupesoga,실뿜기포켓몬,いとはきポケモン
Raw Energy Stockmonster,Pokémon Long-Patte,Pokémon Lungazampa,Langbein,Pokémon Pata Larga,롱다리포켓몬,あしながポケモン
Shared Workspace Stockmonster,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago,박쥐포켓몬,こうもりポケモン
Diagnostic Stockmonster,Pokémon Poisson,Pokémon Pescatore,Angler-Pokémon,Pokémon Rape,아귀포켓몬,あんこうポケモン
Testing Stockmonster,Pokémon Lumière,Pokémon Luce,Leuchten-Pokémon,Pokémon Luz,라이트포켓몬,ライトポケモン
Specialty Foundry Stockmonster,Pokémon Minisouris,Pokémon Topino,Babymaus-Pokémon,Pokémon Ratoncito,아기쥐포켓몬,こねずみポケモン
Foundry Stockmonster,Pokémon Étoile,Pokémon Stella,Sternform-Pokémon,Pokémon Estrella,별포켓몬,ほしがたポケモン
Impatient Stockmonster,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン
Two-Headed Stockmonster,Pokémon Balle Pic,Pokémon Pallapunte,Zackenball-Pokémon,Pokémon Bolaclavos,바늘알포켓몬,はりたまポケモン
Legacy Node Stockmonster,Pokémon Bonheur,Pokémon Felicità,Freuden-Pokémon,Pokémon Felicidad,행복포켓몬,しあわせポケモン
Coverage Stockmonster,Pokémon Minoiseau,Pokémon Uccellino,Kleinvogel-Pokémon,Pokémon Pajarito,아기새포켓몬,ことりポケモン
Parcel Stockmonster,Pokémon Mystique,Pokémon Magico,Mystik-Pokémon,Pokémon Místico,정령포켓몬,せいれいポケモン
Rare-Earth Stockmonster,Pokémon Laine,Pokémon Lana,Wolle,Pokémon Lana,솜털포켓몬,わたげポケモン
Crude Stockmonster,Pokémon Laine,Pokémon Lana,Wolle,Pokémon Lana,솜털포켓몬,わたげポケモン
Converter Stockmonster,Pokémon Lumière,Pokémon Luce,Leuchte,Pokémon Luz,라이트포켓몬,ライトポケモン
Cooling Stockmonster,Pokémon Fleur,Pokémon Fiore,Blumen-Pokémon,Pokémon Flor,꽃포켓몬,フラワーポケモン
Connection Stockmonster,Pokémon Aquasouris,Pokémon Acquatopo,Aquamaus-Pokémon,Pokémon Ratón Agua,물쥐포켓몬,みずねずみポケモン
Grid Stockmonster,Pokémon Aqualapin,Pokémon Acquniglio,Aquahasen-Pokémon,Pokémon Conejo Agua,물토끼포켓몬,みずうさぎポケモン
Total-Market Stockmonster,Pokémon Imitation,Pokémon Imitazione,Imitations-Pokémon,Pokémon Imitación,흉내포켓몬,まねポケモン
Beanie Stockmonster,Pokémon Grenouille,Pokémon Rana,Frosch-Pokémon,Pokémon Rana,개구리포켓몬,かえるポケモン
Platter Stockmonster,Pokémon Pissenlit,Pokémon Gramigna,Löwenzahn,Pokémon Algadón,솜풀포켓몬,わたくさポケモン
Nuclear-Powered Stockmonster,Pokémon Pissenlit,Pokémon Gramigna,Löwenzahn,Pokémon Algadón,솜풀포켓몬,わたくさポケモン
Filament Stockmonster,Pokémon Pissenlit,Pokémon Gramigna,Löwenzahn,Pokémon Algadón,솜풀포켓몬,わたくさポケモン
Megacap Stockmonster,Pokémon Longqueue,Pokémon Lungacoda,Langschweif,Pokémon Cola Larga,긴꼬리포켓몬,おながポケモン
Squeezed-Light Stockmonster,Pokémon Graine,Pokémon Seme,Samen,Pokémon Semilla,씨앗포켓몬,たねポケモン
Refinery Stockmonster,Pokémon Soleil,Pokémon Sole,Sonne,Pokémon Sol,태양포켓몬,たいようポケモン
Video Grid Stockmonster,Pokémon Translaile,Pokémon Alachiara,Libelle,Pokémon Ala Clara,얇은날개포켓몬,うすばねポケモン
Derpy Stockmonster,Pokémon Poisson,Pokémon Acquapesce,Fisch-Pokémon,Pokémon Pez Agua,수어포켓몬,みずうおポケモン
