en,fr,it,de,es,ko,kana
Credoryx,Taupiqueur,Diglett,Digda,Diglett,디그다,ディグダ
Salesphinx,Triopikeur,Dugtrio,Digdri,Dugtrio,닥트리오,ダグトリオ
Crowdstryker,Miaouss,Meowth,Mauzi,Meowth,나옹,ニャース
Coreweaver,Persian,Persian,Snobilikat,Persian,페르시온,ペルシアン
Ciscolossus,Psykokwak,Psyduck,Enton,Psyduck,고라파덕,コダック
Cognizarch,Akwakwak,Golduck,Entoron,Golduck,골덕,ゴルダック
Carvanaught,Férosinge,Mankey,Menki,Mankey,망키,マンキー
Datahound,Colossinge,Primeape,Rasaff,Primeape,성원숭,オコリザル
Dellemental,Caninos,Growlithe,Fukano,Growlithe,가디,ガーディ
Djtitan,Arcanin,Arcanine,Arkani,Arcanine,윈디,ウインディ
Docnereid,Ptitard,Poliwag,Quapsel,Poliwag,발챙이,ニョロモ
Elfyre,Têtarte,Poliwhirl,Quaputzi,Poliwhirl,슈륙챙이,ニョロゾ
Formosaur,Tartard,Poliwrath,Quappo,Poliwrath,강챙이,ニョロボン
Hanguldra,Abra,Abra,Abra,Abra,캐이시,ケーシィ
Fordrake,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,ユンゲラー
Ficolith,Alakazam,Alakazam,Simsala,Alakazam,후딘,フーディン
Figmaw,Machoc,Machop,Machollo,Machop,알통몬,ワンリキー
Fiservok,Machopeur,Machoke,Maschock,Machoke,근육몬,ゴーリキー
Fixarach,Mackogneur,Machamp,Machomei,Machamp,괴력몬,カイリキー
Fluencer,Chétiflor,Bellsprout,Knofensa,Bellsprout,모다피,マダツボミ
Fireflyre,Boustiflor,Weepinbell,Ultrigaria,Weepinbell,우츠동,ウツドン
Fortinaut,Empiflor,Victreebel,Sarzenia,Victreebel,우츠보트,ウツボット
Futuros,Tentacool,Tentacool,Tentacha,Tentacool,왕눈해,メノクラゲ
Geleviathan,Tentacruel,Tentacruel,Tentoxa,Tentacruel,독파리,ドククラゲ
Gevortex,Racaillou,Geodude,Kleinstein,Geodude,꼬마돌,イシツブテ
Gildrake,Gravalanch,Graveler,Georok,Graveler,데구리,ゴローン
Glasswyrm,Grolem,Golem,Geowaz,Golem,딱구리,ゴローニャ
Galaxeon,Ponyta,Ponyta,Ponita,Ponyta,포니타,ポニータ
Gmemeleon,Galopa,Rapidash,Gallopa,Rapidash,날쌩마,ギャロップ
Hulliath,Ramoloss,Slowpoke,Flegmon,Slowpoke,야돈,ヤドン
Himsalve,Flagadoss,Slowbro,Lahmus,Slowbro,야도란,ヤドラン
Hpegasus,Magnéti,Magnemite,Magnetilo,Magnemite,코일,コイル
Howmetheus,Magnéton,Magneton,Magneton,Magneton,레어코일,レアコイル
Ibmoloch,Canarticho,Farfetch’d,Porenta,Farfetch’d,파오리,カモネギ
Ibrexis,Doduo,Doduo,Dodu,Doduo,두두,ドードー
Indavatar,Dodrio,Dodrio,Dodri,Dodrio,두트리오,ドードリオ
Inflequin,Otaria,Seel,Jurob,Seel,쥬쥬,パウワウ
Inodrone,Lamantine,Dewgong,Jugong,Dewgong,쥬레곤,ジュゴン
Intelisk,Tadmorv,Grimer,Sleima,Grimer,질퍽이,ベトベター
Intuivore,Grotadmorv,Muk,Sleimok,Muk,질뻐기,ベトベトン
Ionquark,Kokiyas,Shellder,Muschas,Shellder,셀러,シェルダー
Irendra,Crustabri,Cloyster,Austos,Cloyster,파르셀,パルシェン
Jabilisk,Fantominus,Gastly,Nebulak,Gastly,고오스,ゴース
Johnsonyx,Spectrum,Haunter,Alpollo,Haunter,고우스트,ゴースト
Jobyrd,Ectoplasma,Gengar,Gengar,Gengar,팬텀,ゲンガー
Klacolyth,Onix,Onix,Onix,Onix,롱스톤,イワーク
Kohlossus,Soporifik,Drowzee,Traumato,Drowzee,슬리프,スリープ
Kratossus,Hypnomade,Hypno,Hypno,Hypno,슬리퍼,スリーパー
Harrixen,Krabby,Krabby,Krabby,Krabby,크랩,クラブ
Lumenthra,Krabboss,Kingler,Kingler,Kingler,킹크랩,キングラー
Llyxir,Voltorbe,Voltorb,Voltobal,Voltorb,찌리리공,ビリリダマ
Lockheedra,Électrode,Electrode,Lektrobal,Electrode,붐볼,マルマイン
Lrcyclops,Noeunoeuf,Exeggcute,Owei,Exeggcute,아라리,タマタマ
Lululyth,Noadkoko,Exeggutor,Kokowei,Exeggutor,나시,ナッシー
Lunarch,Osselait,Cubone,Tragosso,Cubone,탕구리,カラカラ
Mongodrake,Ossatueur,Marowak,Knogga,Marowak,텅구리,ガラガラ
Modrake,Kicklee,Hitmonlee,Kicklee,Hitmonlee,시라소몬,サワムラー
,Tygnon,Hitmonchan,Nockchan,Hitmonchan,홍수몬,エビワラー
,Excelangue,Lickitung,Schlurp,Lickitung,내루미,ベロリンガ
,Smogo,Koffing,Smogon,Koffing,또가스,ドガース
Fartweeze,Smogogo,Weezing,Smogmog,Weezing,또도가스,マタドガス
,Rhinocorne,Rhyhorn,Rihorn,Rhyhorn,뿔카노,サイホーン
,Rhinoféros,Rhydon,Rizeros,Rhydon,코뿌리,サイドン
,Leveinard,Chansey,Chaneira,Chansey,럭키,ラッキー
Monolithan,Saquedeneu,Tangela,Tangela,Tangela,덩쿠리,モンジャラ
,Kangourex,Kangaskhan,Kangama,Kangaskhan,캥카,ガルーラ
,Hypotrempe,Horsea,Seeper,Horsea,쏘드라,タッツー
,Hypocéan,Seadra,Seemon,Seadra,시드라,シードラ
,Poissirène,Goldeen,Goldini,Goldeen,콘치,トサキント
,Poissoroy,Seaking,Golking,Seaking,왕콘치,アズマオウ
,Stari,Staryu,Sterndu,Staryu,별가사리,ヒトデマン
,Staross,Starmie,Starmie,Starmie,아쿠스타,スターミー
,M. Mime,Mr. Mime,Pantimos,Mr. Mime,마임맨,バリヤード
Modernyx,Insécateur,Scyther,Sichlor,Scyther,스라크,ストライク
,Lippoutou,Jynx,Rossana,Jynx,루주라,ルージュラ
,Élektek,Electabuzz,Elektek,Electabuzz,에레브,エレブー
Spexmar,Magmar,Magmar,Magmar,Magmar,마그마,ブーバー
,Scarabrute,Pinsir,Pinsir,Pinsir,쁘사이저,カイロス
,Tauros,Tauros,Tauros,Tauros,켄타로스,ケンタロス
Marvellon,Magicarpe,Magikarp,Karpador,Magikarp,잉어킹,コイキング
Mtsiren,Léviator,Gyarados,Garados,Gyarados,갸라도스,ギャラドス
Micronoth,Lokhlass,Lapras,Lapras,Lapras,라프라스,ラプラス
Uselessto,Métamorph,Ditto,Ditto,Ditto,메타몽,メタモン
Muchwow,Évoli,Eevee,Evoli,Eevee,이브이,イーブイ
,Aquali,Vaporeon,Aquana,Vaporeon,샤미드,シャワーズ
,Voltali,Jolteon,Blitza,Jolteon,쥬피썬더,サンダース
,Pyroli,Flareon,Flamara,Flareon,부스터,ブースター
Memerygon,Porygon,Porygon,Porygon,Porygon,폴리곤,ポリゴン
,Amonita,Omanyte,Amonitas,Omanyte,암나이트,オムナイト
,Amonistar,Omastar,Amoroso,Omastar,암스타,オムスター
Ordinite,Kabuto,Kabuto,Kabuto,Kabuto,투구,カブト
,Kabutops,Kabutops,Kabutops,Kabutops,투구푸스,カブトプス
,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,プテラ
,Ronflex,Snorlax,Relaxo,Snorlax,잠만보,カビゴン
,Artikodin,Articuno,Arktos,Articuno,프리져,フリーザー
,Électhor,Zapdos,Zapdos,Zapdos,썬더,サンダー
,Sulfura,Moltres,Lavados,Moltres,파이어,ファイヤー
Maxlinyx,Minidraco,Dratini,Dratini,Dratini,미뇽,ミニリュウ
,Draco,Dragonair,Dragonir,Dragonair,신뇽,ハクリュー
Navnomad,Dracolosse,Dragonite,Dragoran,Dragonite,망나뇽,カイリュー
,Mewtwo,Mewtwo,Mewtu,Mewtwo,뮤츠,ミュウツー
,Mew,Mew,Mew,Mew,뮤,ミュウ
,Germignon,Chikorita,Endivie,Chikorita,치코리타,チコリータ
,Macronium,Bayleef,Lorblatt,Bayleef,베이리프,ベイリーフ
Nebulisk,Méganium,Meganium,Meganie,Meganium,메가니움,メガニウム
,Héricendre,Cyndaquil,Feurigel,Cyndaquil,브케인,ヒノアラシ
,Feurisson,Quilava,Igelavar,Quilava,마그케인,マグマラシ
,Typhlosion,Typhlosion,Tornupto,Typhlosion,블레이범,バクフーン
,Kaiminus,Totodile,Karnimani,Totodile,리아코,ワニノコ
,Crocrodil,Croconaw,Tyracroc,Croconaw,엘리게이,アリゲイツ
,Aligatueur,Feraligatr,Impergator,Feraligatr,장크로다일,オーダイル
,Fouinette,Sentret,Wiesor,Sentret,꼬리선,オタチ
,Fouinar,Furret,Wiesenior,Furret,다꼬리,オオタチ
,Hoothoot,Hoothoot,Hoothoot,Hoothoot,부우부,ホーホー
,Noarfang,Noctowl,Noctuh,Noctowl,야부엉,ヨルノズク
,Coxy,Ledyba,Ledyba,Ledyba,레디바,レディバ
Netcumulus,Coxyclaque,Ledian,Ledian,Ledian,레디안,レディアン
,Mimigal,Spinarak,Webarak,Spinarak,페이검,イトマル
Nanonuke,Migalos,Ariados,Ariados,Ariados,아리아도스,アリアドス
,Nostenfer,Crobat,Iksbat,Crobat,크로뱃,クロバット
Nowarden,Loupio,Chinchou,Lampi,Chinchou,초라기,チョンチー
Nuvora,Lanturn,Lanturn,Lanturn,Lanturn,랜턴,ランターン
,Pichu,Pichu,Pichu,Pichu,피츄,ピチュー
,Mélo,Cleffa,Pii,Cleffa,삐,ピィ
Wenpuff,Toudoudou,Igglybuff,Fluffeluff,Igglybuff,푸푸린,ププリン
,Togepi,Togepi,Togepi,Togepi,토게피,トゲピー
,Togetic,Togetic,Togetic,Togetic,토게틱,トゲチック
,Natu,Natu,Natu,Natu,네이티,ネイティ
,Xatu,Xatu,Xatu,Xatu,네이티오,ネイティオ
,Wattouat,Mareep,Voltilamm,Mareep,메리프,メリープ
,Lainergie,Flaaffy,Waaty,Flaaffy,보송송,モココ
Navitusk,Pharamp,Ampharos,Ampharos,Ampharos,전룡,デンリュウ
,Joliflor,Bellossom,Blubella,Bellossom,아르코,キレイハナ
Oklonyx,Marill,Marill,Marill,Marill,마릴,マリル
,Azumarill,Azumarill,Azumarill,Azumarill,마릴리,マリルリ
,Simularbre,Sudowoodo,Mogelbaum,Sudowoodo,꼬지모,ウソッキー
Brettoad,Tarpaud,Politoed,Quaxo,Politoed,왕구리,ニョロトノ
,Granivol,Hoppip,Hoppspross,Hoppip,통통코,ハネッコ
,Floravol,Skiploom,Hubelupf,Skiploom,두코,ポポッコ
,Cotovol,Jumpluff,Papungha,Jumpluff,솜솜코,ワタッコ
,Capumain,Aipom,Griffel,Aipom,에이팜,エイパム
,Tournegrin,Sunkern,Sonnkern,Sunkern,해너츠,ヒマナッツ
,Héliatronc,Sunflora,Sonnflora,Sunflora,해루미,キマワリ
Onyxide,Yanma,Yanma,Yanma,Yanma,왕자리,ヤンヤンマ
Fwoggo,Axoloto,Wooper,Felino,Wooper,우파,ウパー
,Maraiste,Quagsire,Morlord,Quagsire,누오,ヌオー
,Mentali,Espeon,Psiana,Espeon,에브이,エーフィ
,Noctali,Umbreon,Nachtara,Umbreon,블래키,ブラッキー
,Cornèbre,Murkrow,Kramurx,Murkrow,니로우,ヤミカラス
,Roigada,Slowking,Laschoking,Slowking,야도킹,ヤドキング
,Feuforêve,Misdreavus,Traunfugil,Misdreavus,무우마,ムウマ
,Zarbi,Unown,Icognito,Unown,안농,アンノーン
,Qulbutoké,Wobbuffet,Woingenau,Wobbuffet,마자용,ソーナンス
,Girafarig,Girafarig,Girafarig,Girafarig,키링키,キリンリキ
,Pomdepik,Pineco,Tannza,Pineco,피콘,クヌギダマ
,Foretress,Forretress,Forstellka,Forretress,쏘콘,フォレトス
,Insolourdo,Dunsparce,Dummisel,Dunsparce,노고치,ノコッチ
,Scorplane,Gligar,Skorgla,Gligar,글라이거,グライガー
,Steelix,Steelix,Stahlos,Steelix,강철톤,ハガネール
Myropup,Snubbull,Snubbull,Snubbull,Snubbull,블루,ブルー
Samoyeti,Granbull,Granbull,Granbull,Granbull,그랑블루,グランブル
,Qwilfish,Qwilfish,Baldorfish,Qwilfish,침바루,ハリーセン
,Cizayox,Scizor,Scherox,Scizor,핫삼,ハッサム
,Caratroc,Shuckle,Pottrott,Shuckle,단단지,ツボツボ
,Scarhino,Heracross,Skaraborn,Heracross,헤라크로스,ヘラクロス
Ontolith,Farfuret,Sneasel,Sniebel,Sneasel,포푸니,ニューラ
,Teddiursa,Teddiursa,Teddiursa,Teddiursa,깜지곰,ヒメグマ
,Ursaring,Ursaring,Ursaring,Ursaring,링곰,リングマ
,Limagma,Slugma,Schneckmag,Slugma,마그마그,マグマッグ
Pumpcargo,Volcaropod,Magcargo,Magcargo,Magcargo,마그카르고,マグカルゴ
,Marcacrin,Swinub,Quiekel,Swinub,꾸꾸리,ウリムー
,Cochignon,Piloswine,Keifel,Piloswine,메꾸리,イノムー
,Corayon,Corsola,Corasonn,Corsola,코산호,サニーゴ
Oraclysm,Rémoraid,Remoraid,Remoraid,Remoraid,총어,テッポウオ
,Octillery,Octillery,Octillery,Octillery,대포무노,オクタン
,Cadoizo,Delibird,Botogel,Delibird,딜리버드,デリバード
,Démanta,Mantine,Mantax,Mantine,만타인,マンタイン
,Airmure,Skarmory,Panzaeron,Skarmory,무장조,エアームド
Astrohound,Malosse,Houndour,Hunduster,Houndour,델빌,デルビル
Bonkhound,Démolosse,Houndoom,Hundemon,Houndoom,헬가,ヘルガー
,Hyporoi,Kingdra,Seedraking,Kingdra,킹드라,キングドラ
,Phanpy,Phanpy,Phanpy,Phanpy,코코리,ゴマゾウ
,Donphan,Donphan,Donphan,Donphan,코리갑,ドンファン
,Porygon2,Porygon2,Porygon2,Porygon2,폴리곤2,ポリゴン２
,Cerfrousse,Stantler,Damhirplex,Stantler,노라키,オドシシ
Wojaki,Queulorior,Smeargle,Farbeagle,Smeargle,루브도,ドーブル
,Debugant,Tyrogue,Rabauz,Tyrogue,배루키,バルキー
,Kapoera,Hitmontop,Kapoera,Hitmontop,카포에라,カポエラー
,Lippouti,Smoochum,Kussilla,Smoochum,뽀뽀라,ムチュール
,Élekid,Elekid,Elekid,Elekid,에레키드,エレキッド
,Magby,Magby,Magby,Magby,마그비,ブビィ
,Écrémeuh,Miltank,Miltank,Miltank,밀탱크,ミルタンク
,Leuphorie,Blissey,Heiteira,Blissey,해피너스,ハピナス
,Raikou,Raikou,Raikou,Raikou,라이코,ライコウ
,Entei,Entei,Entei,Entei,앤테이,エンテイ
,Suicune,Suicune,Suicune,Suicune,스이쿤,スイクン
Oustrider,Embrylex,Larvitar,Larvitar,Larvitar,애버라스,ヨーギラス
,Ymphect,Pupitar,Pupitar,Pupitar,데기라스,サナギラス
,Tyranocif,Tyranitar,Despotar,Tyranitar,마기라스,バンギラス
,Lugia,Lugia,Lugia,Lugia,루기아,ルギア
,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,ホウオウ
,Celebi,Celebi,Celebi,Celebi,세레비,セレビィ
,Arcko,Treecko,Geckarbor,Treecko,나무지기,キモリ
Purion,Massko,Grovyle,Reptain,Grovyle,나무돌이,ジュプトル
,Jungko,Sceptile,Gewaldro,Sceptile,나무킹,ジュカイン
,Poussifeu,Torchic,Flemmli,Torchic,아차모,アチャモ
Coqusken,Galifeu,Combusken,Jungglut,Combusken,영치코,ワカシャモ
,Braségali,Blaziken,Lohgock,Blaziken,번치코,バシャーモ
,Gobou,Mudkip,Hydropi,Mudkip,물짱이,ミズゴロウ
,Flobio,Marshtomp,Moorabbel,Marshtomp,늪짱이,ヌマクロー
,Laggron,Swampert,Sumpex,Swampert,대짱이,ラグラージ
Babypup,Medhyèna,Poochyena,Fiffyen,Poochyena,포챠나,ポチエナ
Shibazan,Grahyèna,Mightyena,Magnayen,Mightyena,그라에나,グラエナ
Kishuzig,Zigzaton,Zigzagoon,Zigzachs,Zigzagoon,지그제구리,ジグザグマ
Akitako,Linéon,Linoone,Geradaks,Linoone,직구리,マッスグマ
,Chenipotte,Wurmple,Waumpel,Wurmple,개무소,ケムッソ
,Armulys,Silcoon,Schaloko,Silcoon,실쿤,カラサリス
,Charmillon,Beautifly,Papinella,Beautifly,뷰티플라이,アゲハント
,Blindalys,Cascoon,Panekon,Cascoon,카스쿤,マユルド
,Papinox,Dustox,Pudox,Dustox,독케일,ドクケイル
Panwarden,Nénupiot,Lotad,Loturzel,Lotad,연꽃몬,ハスボー
Pathyrion,Lombre,Lombre,Lombrero,Lombre,로토스,ハスブレロ
Pengulith,Ludicolo,Ludicolo,Kappalores,Ludicolo,로파파,ルンパッパ
,Grainipiot,Seedot,Samurzel,Seedot,도토링,タネボー
,Pifeuil,Nuzleaf,Blanas,Nuzleaf,잎새코,コノハナ
,Tengalice,Shiftry,Tengulist,Shiftry,다탱구,ダーテング
,Nirondelle,Taillow,Schwalbini,Taillow,테일로,スバメ
,Hélédelle,Swellow,Schwalboss,Swellow,스왈로,オオスバメ
,Goélise,Wingull,Wingull,Wingull,갈모매,キャモメ
,Bekipan,Pelipper,Pelipper,Pelipper,패리퍼,ペリッパー
Pfyre,Tarsal,Ralts,Trasla,Ralts,랄토스,ラルトス
,Kirlia,Kirlia,Kirlia,Kirlia,킬리아,キルリア
,Gardevoir,Gardevoir,Guardevoir,Gardevoir,가디안,サーナイト
,Arakdo,Surskit,Gehweiher,Surskit,비구술,アメタマ
,Maskadra,Masquerain,Maskeregen,Masquerain,비나방,アメモース
,Balignon,Shroomish,Knilz,Shroomish,버섯꼬,キノココ
,Chapignon,Breloom,Kapilz,Breloom,버섯모,キノガッサ
Mumuloth,Parecool,Slakoth,Bummelz,Slakoth,게을로,ナマケロ
Sigmaroth,Vigoroth,Vigoroth,Muntier,Vigoroth,발바로,ヤルキモノ
Slerfloth,Monaflèmit,Slaking,Letarking,Slaking,게을킹,ケッキング
,Ningale,Nincada,Nincada,Nincada,토중몬,ツチニン
,Ninjask,Ninjask,Ninjask,Ninjask,아이스크,テッカニン
,Munja,Shedinja,Ninjatom,Shedinja,껍질몬,ヌケニン
,Chuchmur,Whismur,Flurmel,Whismur,소곤룡,ゴニョニョ
,Ramboum,Loudred,Krakeelo,Loudred,노공룡,ドゴーム
,Brouhabam,Exploud,Krawumms,Exploud,폭음룡,バクオング
,Makuhita,Makuhita,Makuhita,Makuhita,마크탕,マクノシタ
Gigachard,Hariyama,Hariyama,Hariyama,Hariyama,하리뭉,ハリテヤマ
Planetheon,Azurill,Azurill,Azurill,Azurill,루리리,ルリリ
,Tarinor,Nosepass,Nasgnet,Nosepass,코코파스,ノズパス
Popcatta,Skitty,Skitty,Eneco,Skitty,에나비,エネコ
Mewcatta,Delcatty,Delcatty,Enekoro,Delcatty,델케티,エネコロロ
Sabletroll,Ténéfix,Sableye,Zobiris,Sableye,깜까미,ヤミラミ
,Mysdibule,Mawile,Flunkifer,Mawile,입치트,クチート
,Galekid,Aron,Stollunior,Aron,가보리,ココドラ
,Galegon,Lairon,Stollrak,Lairon,갱도라,コドラ
,Galeking,Aggron,Stolloss,Aggron,보스로라,ボスゴドラ
,Méditikka,Meditite,Meditie,Meditite,요가랑,アサナン
,Charmina,Medicham,Meditalis,Medicham,요가램,チャーレム
Voltrike,Dynavolt,Electrike,Frizelbliz,Electrike,썬더라이,ラクライ
Doggomoon,Élecsprint,Manectric,Voltenso,Manectric,썬더볼트,ライボルト
,Posipi,Plusle,Plusle,Plusle,플러시,プラスル
,Négapi,Minun,Minun,Minun,마이농,マイナン
,Muciole,Volbeat,Volbeat,Volbeat,볼비트,バルビート
,Lumivole,Illumise,Illumise,Illumise,네오비트,イルミーゼ
,Rosélia,Roselia,Roselia,Roselia,로젤리아,ロゼリア
,Gloupti,Gulpin,Schluppuck,Gulpin,꼴깍몬,ゴクリン
,Avaltout,Swalot,Schlukwech,Swalot,꿀꺽몬,マルノーム
,Carvanha,Carvanha,Kanivanha,Carvanha,샤프니아,キバニア
,Sharpedo,Sharpedo,Tohaido,Sharpedo,샤크니아,サメハダー
,Wailmer,Wailmer,Wailmer,Wailmer,고래왕자,ホエルコ
,Wailord,Wailord,Wailord,Wailord,고래왕,ホエルオー
,Chamallot,Numel,Camaub,Numel,둔타,ドンメル
,Camérupt,Camerupt,Camerupt,Camerupt,폭타,バクーダ
Turboshell,Chartor,Torkoal,Qurtel,Torkoal,코터스,コータス
,Spoink,Spoink,Spoink,Spoink,피그점프,バネブー
,Groret,Grumpig,Groink,Grumpig,피그킹,ブーピッグ
,Spinda,Spinda,Pandir,Spinda,얼루기,パッチール
Poetheon,Kraknoix,Trapinch,Knacklion,Trapinch,톱치,ナックラー
,Vibraninf,Vibrava,Vibrava,Vibrava,비브라바,ビブラーバ
Powlvolt,Libégon,Flygon,Libelldra,Flygon,플라이곤,フライゴン
,Cacnea,Cacnea,Tuska,Cacnea,선인왕,サボネア
,Cacturne,Cacturne,Noktuska,Cacturne,밤선인,ノクタス
,Tylton,Swablu,Wablu,Swablu,파비코,チルット
Higheraria,Altaria,Altaria,Altaria,Altaria,파비코리,チルタリス
Permyre,Mangriff,Zangoose,Sengo,Zangoose,쟝고,ザングース
Quantasurge,Séviper,Seviper,Vipitis,Seviper,세비퍼,ハブネーク
,Séléroc,Lunatone,Lunastein,Lunatone,루나톤,ルナトーン
,Solaroc,Solrock,Sonnfel,Solrock,솔록,ソルロック
Qubitwyrm,Barloche,Barboach,Schmerbe,Barboach,미꾸리,ドジョッチ
Qcomet,Barbicha,Whiscash,Welsar,Whiscash,메깅,ナマズン
,Écrapince,Corphish,Krebscorps,Corphish,가재군,ヘイガニ
,Colhomard,Crawdaunt,Krebutack,Crawdaunt,가재장군,シザリガー
,Balbuto,Baltoy,Puppance,Baltoy,오뚝군,ヤジロン
,Kaorine,Claydol,Lepumentas,Claydol,점토도리,ネンドール
,Lilia,Lileep,Liliep,Lileep,릴링,リリーラ
,Vacilys,Cradily,Wielie,Cradily,릴리요,ユレイドル
,Anorith,Anorith,Anorith,Anorith,아노딥스,アノプス
,Armaldo,Armaldo,Armaldo,Armaldo,아말도,アーマルド
,Barpau,Feebas,Barschwa,Feebas,빈티나,ヒンバス
Nasdrake,Milobellus,Milotic,Milotic,Milotic,밀로틱,ミロカロス
,Morphéo,Castform,Formeo,Castform,캐스퐁,ポワルン
,Kecleon,Kecleon,Kecleon,Kecleon,켈리몬,カクレオン
,Polichombr,Shuppet,Shuppet,Shuppet,어둠대신,カゲボウズ
,Branette,Banette,Banette,Banette,다크펫,ジュペッタ
,Skelénox,Duskull,Zwirrlicht,Duskull,해골몽,ヨマワル
,Téraclope,Dusclops,Zwirrklop,Dusclops,미라몽,サマヨール
,Tropius,Tropius,Tropius,Tropius,트로피우스,トロピウス
,Éoko,Chimecho,Palimpalim,Chimecho,치렁,チリーン
,Absol,Absol,Absol,Absol,앱솔,アブソル
,Okéoké,Wynaut,Isso,Wynaut,마자,ソーナノ
Qubitron,Stalgamin,Snorunt,Schneppke,Snorunt,눈꼬마,ユキワラシ
,Oniglali,Glalie,Firnontor,Glalie,얼음귀신,オニゴーリ
,Obalie,Spheal,Seemops,Spheal,대굴레오,タマザラシ
,Phogleur,Sealeo,Seejong,Sealeo,씨레오,トドグラー
,Kaimorse,Walrein,Walraisa,Walrein,씨카이저,トドゼルガ
,Coquiperl,Clamperl,Perlu,Clamperl,진주몽,パールル
,Serpang,Huntail,Aalabyss,Huntail,헌테일,ハンテール
,Rosabyss,Gorebyss,Saganabyss,Gorebyss,분홍장이,サクラビス
,Relicanth,Relicanth,Relicanth,Relicanth,시라칸,ジーランス
